IID,load_N,cage.pen,feed,breed,group,weight,comb_mass
37,149,CAGE,SLU-kontroll,Bovans,2122,2.066,23.19
38,172,CAGE,SLU-kontroll,Bovans,2122,1.661,20.8
39,143,CAGE,SLU-försök,LSL,2123,1.807,16.37
40,104,CAGE,SLU-försök,LSL,2123,1.981,25.66
42,102,CAGE,SLU-försök,Bovans,2124,1.534,29.14
43,128,CAGE,SLU-kontroll,Bovans,2125,1.683,23.76
44,172,CAGE,SLU-kontroll,Bovans,2125,2.218,38.7
45,151,CAGE,SLU-försök,LSL,2126,1.4,21.6
48,146,CAGE,SLU-försök,Bovans,2127,1.9,23.76
49,137,CAGE,SLU-försök,LSL,2201,1.695,32
50,162,CAGE,SLU-försök,LSL,2201,1.942,28.46
51,143,CAGE,SLU-försök,Bovans,2202,2.154,39.23
52,111,CAGE,SLU-försök,Bovans,2202,1.814,28.41
53,151,CAGE,SLU-försök,LSL,2203,1.956,17.56
54,265,CAGE,SLU-försök,LSL,2203,2.204,32.59
55,186,CAGE,SLU-försök,LSL,2204,1.755,20.6
56,149,CAGE,SLU-försök,LSL,2204,1.562,21.08
57,233,CAGE,SLU-försök,Bovans,2205,2.334,29.4
58,136,CAGE,SLU-försök,Bovans,2205,1.901,16.41
59,144,CAGE,SLU-försök,LSL,2206,2.176,24.12
60,107,CAGE,SLU-försök,LSL,2206,1.904,23.57
61,172,CAGE,SLU-försök,LSL,2207,1.726,14.3
63,151,CAGE,SLU-försök,Bovans,2208,2.018,33.81
64,125,CAGE,SLU-försök,Bovans,2208,1.983,17.3
65,185,CAGE,SLU-försök,LSL,2209,1.787,35.22
66,158,CAGE,SLU-försök,LSL,2209,1.841,19.47
67,234,CAGE,SLU-försök,LSL,2210,1.919,19.53
68,160,CAGE,SLU-försök,LSL,2210,2.141,27.07
69,116,CAGE,SLU-försök,Bovans,2211,1.713,30.9
70,139,CAGE,SLU-försök,Bovans,2211,2.217,26.79
73,167,CAGE,SLU-kontroll,LSL,2216,2.156,13.81
74,157,CAGE,SLU-kontroll,LSL,2216,1.754,30.45
75,NA,CAGE,SLU-kontroll,Bovans,2217,2.185,46.16
76,106,CAGE,SLU-kontroll,Bovans,2217,1.743,15.89
77,148,CAGE,SLU-kontroll,LSL,2218,1.991,29.35
79,192,CAGE,SLU-kontroll,LSL,2219,2.106,30.51
80,145,CAGE,SLU-kontroll,LSL,2219,1.677,17.1
81,206,CAGE,SLU-kontroll,Bovans,2220,2.044,29.83
82,216,CAGE,SLU-kontroll,Bovans,2220,1.834,19.67
83,149,CAGE,SLU-kontroll,LSL,2221,2.023,19.99
84,143,CAGE,SLU-kontroll,LSL,2221,2.064,16.05
86,278,CAGE,SLU-kontroll,LSL,2222,2.066,31.63
87,128,CAGE,SLU-kontroll,Bovans,2223,1.846,19.35
88,159,CAGE,SLU-kontroll,Bovans,2223,1.821,23.94
89,134,CAGE,SLU-kontroll,LSL,2224,1.801,22.22
90,139,CAGE,SLU-kontroll,LSL,2224,1.893,26.4
92,253,CAGE,SLU-kontroll,LSL,2225,1.869,21.36
93,175,CAGE,SLU-kontroll,Bovans,2226,1.849,25.1
95,186,CAGE,SLU-kontroll,LSL,2227,2.214,19.31
96,138,CAGE,SLU-kontroll,LSL,2227,1.938,18.72
97,131,CAGE,SLU-kontroll,Bovans,2301,1.95,30.12
98,155,CAGE,SLU-kontroll,Bovans,2301,1.87,21.78
101,127,CAGE,SLU-kontroll,Bovans,2303,1.883,29.17
102,220,CAGE,SLU-kontroll,Bovans,2303,1.899,31.98
104,148,CAGE,SLU-kontroll,Bovans,2304,1.831,30.61
105,170,CAGE,SLU-försök,LSL,2305,2.33,32.24
