"IID","feed","cage.pen","breed","weight","comb_mass","group"
37,"SLU-kontroll","CAGE","Bovans",2.066,23.19,2122
38,"SLU-kontroll","CAGE","Bovans",1.661,20.8,2122
39,"SLU-försök","CAGE","LSL",1.807,16.37,2123
40,"SLU-försök","CAGE","LSL",1.981,25.66,2123
42,"SLU-försök","CAGE","Bovans",1.534,29.14,2124
43,"SLU-kontroll","CAGE","Bovans",1.683,23.76,2125
44,"SLU-kontroll","CAGE","Bovans",2.218,38.7,2125
45,"SLU-försök","CAGE","LSL",1.4,21.6,2126
48,"SLU-försök","CAGE","Bovans",1.9,23.76,2127
49,"SLU-försök","CAGE","LSL",1.695,32,2201
50,"SLU-försök","CAGE","LSL",1.942,28.46,2201
51,"SLU-försök","CAGE","Bovans",2.154,39.23,2202
52,"SLU-försök","CAGE","Bovans",1.814,28.41,2202
53,"SLU-försök","CAGE","LSL",1.956,17.56,2203
54,"SLU-försök","CAGE","LSL",2.204,32.59,2203
55,"SLU-försök","CAGE","LSL",1.755,20.6,2204
56,"SLU-försök","CAGE","LSL",1.562,21.08,2204
57,"SLU-försök","CAGE","Bovans",2.334,29.4,2205
58,"SLU-försök","CAGE","Bovans",1.901,16.41,2205
59,"SLU-försök","CAGE","LSL",2.176,24.12,2206
60,"SLU-försök","CAGE","LSL",1.904,23.57,2206
61,"SLU-försök","CAGE","LSL",1.726,14.3,2207
63,"SLU-försök","CAGE","Bovans",2.018,33.81,2208
64,"SLU-försök","CAGE","Bovans",1.983,17.3,2208
65,"SLU-försök","CAGE","LSL",1.787,35.22,2209
66,"SLU-försök","CAGE","LSL",1.841,19.47,2209
67,"SLU-försök","CAGE","LSL",1.919,19.53,2210
68,"SLU-försök","CAGE","LSL",2.141,27.07,2210
69,"SLU-försök","CAGE","Bovans",1.713,30.9,2211
70,"SLU-försök","CAGE","Bovans",2.217,26.79,2211
73,"SLU-kontroll","CAGE","LSL",2.156,13.81,2216
74,"SLU-kontroll","CAGE","LSL",1.754,30.45,2216
75,"SLU-kontroll","CAGE","Bovans",2.185,46.16,2217
76,"SLU-kontroll","CAGE","Bovans",1.743,15.89,2217
77,"SLU-kontroll","CAGE","LSL",1.991,29.35,2218
79,"SLU-kontroll","CAGE","LSL",2.106,30.51,2219
80,"SLU-kontroll","CAGE","LSL",1.677,17.1,2219
81,"SLU-kontroll","CAGE","Bovans",2.044,29.83,2220
82,"SLU-kontroll","CAGE","Bovans",1.834,19.67,2220
83,"SLU-kontroll","CAGE","LSL",2.023,19.99,2221
84,"SLU-kontroll","CAGE","LSL",2.064,16.05,2221
