"IID","breed","comb_mass"
37,"Bovans",23.19
38,"Bovans",20.8
39,"LSL",16.37
40,"LSL",25.66
42,"Bovans",29.14
43,"Bovans",23.76
44,"Bovans",38.7
45,"LSL",21.6
48,"Bovans",23.76
49,"LSL",32
50,"LSL",28.46
51,"Bovans",39.23
52,"Bovans",28.41
53,"LSL",17.56
54,"LSL",32.59
55,"LSL",20.6
56,"LSL",21.08
57,"Bovans",29.4
58,"Bovans",16.41
59,"LSL",24.12
60,"LSL",23.57
61,"LSL",14.3
63,"Bovans",33.81
64,"Bovans",17.3
65,"LSL",35.22
66,"LSL",19.47
67,"LSL",19.53
68,"LSL",27.07
69,"Bovans",30.9
70,"Bovans",26.79
73,"LSL",13.81
74,"LSL",30.45
75,"Bovans",46.16
76,"Bovans",15.89
77,"LSL",29.35
79,"LSL",30.51
80,"LSL",17.1
81,"Bovans",29.83
82,"Bovans",19.67
83,"LSL",19.99
84,"LSL",16.05
86,"LSL",31.63
87,"Bovans",19.35
88,"Bovans",23.94
89,"LSL",22.22
90,"LSL",26.4
92,"LSL",21.36
93,"Bovans",25.1
95,"LSL",19.31
96,"LSL",18.72
97,"Bovans",30.12
98,"Bovans",21.78
101,"Bovans",29.17
102,"Bovans",31.98
104,"Bovans",30.61
105,"LSL",32.24
106,"LSL",19.63
107,"Bovans",19.72
108,"Bovans",26.49
109,"Bovans",16.92
110,"Bovans",38.58
111,"LSL",24.35
112,"LSL",33.09
113,"Bovans",20.41
114,"Bovans",21.2
115,"Bovans",22.77
116,"Bovans",20.31
118,"LSL",18.2
120,"Bovans",24.29
121,"Bovans",11.77
122,"Bovans",25.39
123,"LSL",27.12
124,"LSL",28.31
125,"Bovans",25.69
127,"Bovans",23.57
128,"Bovans",24.41
129,"LSL",20.2
131,"Bovans",22.37
132,"Bovans",25.85
133,"Bovans",25.45
136,"LSL",22.02
137,"Bovans",26.38
138,"Bovans",33.2
139,"Bovans",27.73
142,"LSL",27.48
144,"Bovans",27.88
145,"LSL",29.15
146,"LSL",24.4
147,"Bovans",18.25
148,"Bovans",19.81
149,"LSL",36.78
150,"LSL",26.81
152,"LSL",20.69
154,"Bovans",33.12
155,"LSL",18.77
156,"LSL",21.43
157,"LSL",22.89
158,"LSL",21.22
160,"Bovans",22.83
166,"Bovans",28.4
167,"LSL",20.48
168,"LSL",30.22
170,"LSL",19
172,"Bovans",17.72
173,"LSL",15.18
174,"LSL",16.2
175,"LSL",18.36
176,"LSL",18.86
177,"Bovans",18.33
184,"Bovans",24.71
185,"LSL",27.23
186,"LSL",34.28
189,"Bovans",21.72
191,"LSL",21.21
192,"LSL",47.17
194,"Bovans",25.42
196,"LSL",25.38
198,"Bovans",29.62
199,"Bovans",21.4
200,"Bovans",23.1
201,"LSL",20.44
202,"LSL",21.13
203,"Bovans",20.65
204,"Bovans",33.8
205,"Bovans",26.17
207,"LSL",22.83
208,"LSL",29.13
209,"Bovans",25.38
