IID,comb_mass,day,rna_sampled
37,23.19,1,no
38,20.8,1,no
39,16.37,1,no
40,25.66,1,no
42,29.14,1,no
43,23.76,1,no
44,38.7,1,no
45,21.6,1,no
48,23.76,1,no
49,32,1,no
50,28.46,1,no
51,39.23,1,no
52,28.41,1,no
53,17.56,1,no
54,32.59,1,no
55,20.6,1,no
56,21.08,1,no
57,29.4,1,no
58,16.41,1,no
59,24.12,1,no
60,23.57,1,no
61,14.3,1,no
63,33.81,1,no
64,17.3,1,no
65,35.22,1,no
66,19.47,1,no
67,19.53,1,no
68,27.07,1,no
69,30.9,1,no
70,26.79,1,no
73,13.81,1,no
74,30.45,1,no
75,46.16,1,no
76,15.89,1,no
77,29.35,1,no
79,30.51,1,no
80,17.1,1,no
81,29.83,1,no
82,19.67,1,no
83,19.99,1,no
84,16.05,1,no
86,31.63,1,no
87,19.35,1,no
88,23.94,1,no
89,22.22,1,no
90,26.4,1,no
91,20.35,1,no
92,21.36,1,no
93,25.1,1,no
95,19.31,1,no
96,18.72,1,no
97,30.12,1,no
98,21.78,1,no
101,29.17,1,no
102,31.98,1,no
104,30.61,1,no
105,32.24,1,no
106,19.63,1,no
107,19.72,1,no
108,26.49,1,no
109,16.92,1,no
110,38.58,1,no
111,24.35,1,no
112,33.09,1,no
113,20.41,1,no
114,21.2,1,no
115,22.77,1,no
116,20.31,1,no
118,18.2,1,no
120,24.29,1,no
121,11.77,1,no
122,25.39,1,no
123,27.12,1,no
124,28.31,1,no
125,25.69,1,no
127,23.57,1,no
128,24.41,1,no
129,20.2,1,no
131,22.37,1,no
132,25.85,1,no
133,25.45,1,no
136,22.02,1,no
137,26.38,1,no
138,33.2,1,no
139,27.73,1,no
142,27.48,1,no
144,27.88,1,no
145,29.15,1,no
146,24.4,1,no
147,18.25,1,no
148,19.81,1,no
149,36.78,1,no
150,26.81,1,no
152,20.69,1,no
154,33.12,1,no
155,18.77,1,no
156,21.43,1,no
157,22.89,1,no
158,21.22,1,no
160,22.83,1,no
166,28.4,2,yes
167,20.48,2,yes
168,30.22,2,yes
170,19,2,yes
172,17.72,2,yes
173,15.18,2,yes
174,16.2,2,yes
175,18.36,2,yes
176,18.86,2,yes
177,18.33,2,yes
182,28.94,2,yes
184,24.71,2,yes
185,27.23,2,yes
186,34.28,2,yes
189,21.72,2,yes
191,21.21,2,yes
192,47.17,2,yes
193,23.12,2,yes
194,25.42,2,yes
196,25.38,2,yes
198,29.62,2,yes
199,21.4,2,yes
200,23.1,2,yes
201,20.44,2,yes
202,21.13,2,yes
203,20.65,2,yes
204,33.8,2,yes
205,26.17,2,yes
207,22.83,2,yes
208,29.13,2,yes
209,25.38,2,yes
211,22.88,2,yes
215,32.61,2,yes
216,24.41,2,yes
219,24.63,2,yes
220,19.45,2,yes
221,24.21,2,yes
223,27.6,2,yes
225,21.27,2,yes
226,23.95,2,yes
227,27.99,2,yes
228,23.9,2,yes
229,21.2,2,yes
231,19.19,2,yes
233,15.69,2,yes
234,23.18,2,yes
235,32.42,2,yes
238,24.78,2,yes
239,26.22,2,yes
240,20.7,2,yes
242,32.38,2,yes
243,16.53,2,yes
244,25.68,2,yes
246,24.64,2,yes
247,17.88,2,yes
248,21.07,2,yes
249,20.28,2,yes
250,22.59,2,yes
251,24.17,2,yes
252,26.36,2,yes
253,24.36,2,yes
254,23.16,2,yes
255,22.38,2,yes
256,33.15,2,yes
257,28.3,2,yes
260,18.64,2,yes
261,31.45,2,yes
262,22.35,2,yes
263,20.77,2,yes
264,30.43,2,yes
265,17.21,2,yes
266,27.5,2,yes
267,24.82,2,yes
268,39.14,2,yes
269,11.72,2,yes
274,21.5,2,yes
275,28.44,2,yes
276,21.9,2,yes
277,24.35,2,yes
278,21.5,2,yes
279,14.83,2,yes
281,22.57,2,yes
282,19.94,2,yes
283,36.86,2,yes
286,25.9,2,yes
289,16.1,2,yes
290,26.96,2,yes
291,25.11,2,yes
292,27.7,2,yes
293,22.8,2,yes
294,26.85,2,yes
295,18.31,2,yes
297,19.97,2,yes
299,24.17,2,yes
300,27.9,2,yes
301,25.47,2,yes
303,26.73,2,yes
304,27.57,2,yes
307,29.51,2,yes
309,23.45,2,yes
310,40.17,2,yes
311,17.2,2,yes
312,29.05,2,no
313,31.86,2,yes
314,12.89,2,yes
315,14.77,2,yes
316,30.44,2,yes
317,19.16,2,no
318,22,2,no
319,29.78,3,no
320,31.41,3,no
321,17.32,3,no
322,27.45,3,no
323,22.99,3,no
324,32.19,3,no
325,23.28,3,no
326,27.68,3,no
327,28.11,3,no
328,32.61,3,no
330,19.85,3,no
331,29.51,3,no
332,25.35,4,no
333,24.04,4,no
334,33.1,4,yes
335,30.49,4,yes
336,25.85,4,no
337,19.99,4,no
339,21.06,4,no
341,23.2,4,no
343,29.37,4,yes
344,24.84,4,no
345,32.69,4,yes
346,27.58,4,no
349,25.87,4,no
350,24.14,4,no
351,18.03,4,no
352,20.74,4,no
354,31.73,4,no
356,35.98,4,yes
357,23.9,4,no
358,34.93,4,yes
359,24.8,4,no
360,25.72,4,no
361,25.68,4,no
362,22.72,4,no
363,32.79,4,yes
365,17.99,4,yes
366,20.66,4,no
367,17.83,4,yes
368,22.58,4,no
369,27.5,4,no
370,33.79,4,yes
371,27.01,4,no
373,31.83,4,yes
374,16.35,4,yes
375,26.57,4,no
377,34.83,4,no
378,25.58,4,no
381,32.27,4,yes
382,25.57,4,no
383,26.1,4,no
384,24.63,4,no
385,21.88,4,no
386,26.34,4,no
387,29.19,4,no
389,26.52,4,no
390,34,4,yes
391,24.68,4,no
392,31.89,4,yes
393,27.38,4,no
395,19.01,4,yes
397,20.55,4,no
398,21.66,4,no
399,26.93,4,no
400,19.86,4,yes
401,25.97,4,no
402,37.23,4,yes
405,23.22,4,no
407,20.66,4,no
408,16.78,4,yes
409,27.98,4,no
412,20.79,4,no
413,21.75,4,no
414,25.06,4,no
416,35.16,4,no
417,23.68,4,no
418,21.34,4,no
421,17.96,4,yes
422,17.93,4,yes
423,19.57,4,yes
424,35.84,4,yes
425,21.99,4,no
426,23.95,4,no
435,25.94,4,no
438,18.68,4,yes
439,28.99,4,no
440,22.91,4,no
443,27.96,4,no
444,27.62,4,no
445,31.19,4,yes
447,27.22,4,no
448,11.92,4,yes
449,28.74,4,no
451,22.05,4,no
452,17.62,4,yes
453,31.35,4,yes
454,21.88,4,no
455,22.18,4,no
456,31.46,4,yes
457,23.23,4,no
458,19.63,4,yes
460,27.67,4,no
461,18.92,4,yes
462,18,4,yes
463,25.22,4,no
465,18.25,4,yes
466,24.05,4,no
467,27.92,4,no
468,24.12,4,no
471,16.22,4,yes
472,23.32,4,no
473,32,4,yes
474,20.9,4,no
475,25.43,4,no
476,21.23,4,no
477,24.45,4,no
478,27.26,4,no
479,23.8,4,no
480,29.12,4,no
481,27.19,4,no
482,23.42,4,no
483,29.33,4,no
484,35.5,4,no
485,21.72,4,no
486,25.58,4,no
487,22.09,4,no
489,28.17,4,no
490,23.66,4,no
491,32.71,4,yes
492,28.59,4,no
493,38.69,4,yes
494,18.84,4,yes
497,31.69,4,yes
498,19.33,4,yes
499,25.97,4,no
500,15.98,4,yes
501,26.54,4,no
