IID,load_N,cage.pen,feed,breed,group,weight
1,162,CAGE,SLU-försök,Bovans,2101,2.262
2,165,CAGE,SLU-försök,Bovans,2101,1.896
3,255,CAGE,SLU-kontroll,LSL,2102,1.7
4,215,CAGE,SLU-kontroll,LSL,2102,2.074
7,181,CAGE,SLU-försök,Bovans,2104,1.895
8,148,CAGE,SLU-försök,Bovans,2104,1.774
9,167,CAGE,SLU-kontroll,LSL,2105,1.759
10,166,CAGE,SLU-kontroll,LSL,2105,1.886
11,168,CAGE,SLU-kontroll,Bovans,2106,2.143
12,177,CAGE,SLU-kontroll,Bovans,2106,2.074
13,156,CAGE,SLU-försök,Bovans,2107,1.89
14,143,CAGE,SLU-försök,Bovans,2107,1.865
15,178,CAGE,SLU-kontroll,LSL,2108,1.96
16,167,CAGE,SLU-kontroll,LSL,2108,1.632
17,158,CAGE,SLU-kontroll,Bovans,2109,1.848
18,167,CAGE,SLU-kontroll,Bovans,2109,1.753
19,155,CAGE,SLU-försök,Bovans,2110,1.491
20,136,CAGE,SLU-försök,Bovans,2110,1.497
21,177,CAGE,SLU-kontroll,LSL,2111,1.954
22,324,CAGE,SLU-kontroll,LSL,2111,2.122
23,167,CAGE,SLU-kontroll,Bovans,2112,2.115
24,178,CAGE,SLU-kontroll,Bovans,2112,1.992
25,167,CAGE,SLU-kontroll,Bovans,2116,1.776
26,147,CAGE,SLU-kontroll,Bovans,2116,1.938
27,167,CAGE,SLU-försök,LSL,2117,1.765
29,116,CAGE,SLU-försök,Bovans,2118,2.039
30,199,CAGE,SLU-försök,Bovans,2118,2.311
31,170,CAGE,SLU-kontroll,Bovans,2119,1.868
32,145,CAGE,SLU-kontroll,Bovans,2119,2.17
33,140,CAGE,SLU-försök,LSL,2120,2
34,258,CAGE,SLU-försök,LSL,2120,1.96
35,151,CAGE,SLU-försök,Bovans,2121,1.709
36,168,CAGE,SLU-försök,Bovans,2121,2.297
37,149,CAGE,SLU-kontroll,Bovans,2122,2.066
38,172,CAGE,SLU-kontroll,Bovans,2122,1.661
39,143,CAGE,SLU-försök,LSL,2123,1.807
40,104,CAGE,SLU-försök,LSL,2123,1.981
42,102,CAGE,SLU-försök,Bovans,2124,1.534
43,128,CAGE,SLU-kontroll,Bovans,2125,1.683
44,172,CAGE,SLU-kontroll,Bovans,2125,2.218
45,151,CAGE,SLU-försök,LSL,2126,1.4
48,146,CAGE,SLU-försök,Bovans,2127,1.9
49,137,CAGE,SLU-försök,LSL,2201,1.695
50,162,CAGE,SLU-försök,LSL,2201,1.942
51,143,CAGE,SLU-försök,Bovans,2202,2.154
52,111,CAGE,SLU-försök,Bovans,2202,1.814
53,151,CAGE,SLU-försök,LSL,2203,1.956
54,265,CAGE,SLU-försök,LSL,2203,2.204
55,186,CAGE,SLU-försök,LSL,2204,1.755
56,149,CAGE,SLU-försök,LSL,2204,1.562
57,233,CAGE,SLU-försök,Bovans,2205,2.334
58,136,CAGE,SLU-försök,Bovans,2205,1.901
59,144,CAGE,SLU-försök,LSL,2206,2.176
60,107,CAGE,SLU-försök,LSL,2206,1.904
61,172,CAGE,SLU-försök,LSL,2207,1.726
63,151,CAGE,SLU-försök,Bovans,2208,2.018
64,125,CAGE,SLU-försök,Bovans,2208,1.983
65,185,CAGE,SLU-försök,LSL,2209,1.787
66,158,CAGE,SLU-försök,LSL,2209,1.841
67,234,CAGE,SLU-försök,LSL,2210,1.919
68,160,CAGE,SLU-försök,LSL,2210,2.141
69,116,CAGE,SLU-försök,Bovans,2211,1.713
70,139,CAGE,SLU-försök,Bovans,2211,2.217
73,167,CAGE,SLU-kontroll,LSL,2216,2.156
74,157,CAGE,SLU-kontroll,LSL,2216,1.754
75,NA,CAGE,SLU-kontroll,Bovans,2217,2.185
76,106,CAGE,SLU-kontroll,Bovans,2217,1.743
77,148,CAGE,SLU-kontroll,LSL,2218,1.991
79,192,CAGE,SLU-kontroll,LSL,2219,2.106
80,145,CAGE,SLU-kontroll,LSL,2219,1.677
81,206,CAGE,SLU-kontroll,Bovans,2220,2.044
82,216,CAGE,SLU-kontroll,Bovans,2220,1.834
83,149,CAGE,SLU-kontroll,LSL,2221,2.023
84,143,CAGE,SLU-kontroll,LSL,2221,2.064
86,278,CAGE,SLU-kontroll,LSL,2222,2.066
87,128,CAGE,SLU-kontroll,Bovans,2223,1.846
88,159,CAGE,SLU-kontroll,Bovans,2223,1.821
89,134,CAGE,SLU-kontroll,LSL,2224,1.801
90,139,CAGE,SLU-kontroll,LSL,2224,1.893
91,141,CAGE,SLU-kontroll,LSL,2225,2.062
92,253,CAGE,SLU-kontroll,LSL,2225,1.869
93,175,CAGE,SLU-kontroll,Bovans,2226,1.849
95,186,CAGE,SLU-kontroll,LSL,2227,2.214
96,138,CAGE,SLU-kontroll,LSL,2227,1.938
97,131,CAGE,SLU-kontroll,Bovans,2301,1.95
98,155,CAGE,SLU-kontroll,Bovans,2301,1.87
101,127,CAGE,SLU-kontroll,Bovans,2303,1.883
102,220,CAGE,SLU-kontroll,Bovans,2303,1.899
104,148,CAGE,SLU-kontroll,Bovans,2304,1.831
105,170,CAGE,SLU-försök,LSL,2305,2.33
106,148,CAGE,SLU-försök,LSL,2305,2.066
107,186,CAGE,SLU-kontroll,Bovans,2306,2.295
108,148,CAGE,SLU-kontroll,Bovans,2306,1.739
109,191,CAGE,SLU-kontroll,Bovans,2307,2.051
110,141,CAGE,SLU-kontroll,Bovans,2307,1.772
111,145,CAGE,SLU-försök,LSL,2308,1.899
112,146,CAGE,SLU-försök,LSL,2308,2.084
113,219,CAGE,SLU-kontroll,Bovans,2309,2.108
114,148,CAGE,SLU-kontroll,Bovans,2309,2.26
115,144,CAGE,SLU-kontroll,Bovans,2310,2.102
116,148,CAGE,SLU-kontroll,Bovans,2310,2.086
118,240,CAGE,SLU-försök,LSL,2311,1.838
120,141,CAGE,SLU-kontroll,Bovans,2312,2.03
121,121,CAGE,SLU-försök,Bovans,2316,1.526
122,172,CAGE,SLU-försök,Bovans,2316,1.988
123,146,CAGE,SLU-kontroll,LSL,2317,1.934
124,123,CAGE,SLU-kontroll,LSL,2317,1.671
125,148,CAGE,SLU-försök,Bovans,2318,1.67
127,138,CAGE,SLU-försök,Bovans,2319,1.955
128,166,CAGE,SLU-försök,Bovans,2319,1.96
129,93,CAGE,SLU-kontroll,LSL,2320,1.769
131,131,CAGE,SLU-försök,Bovans,2321,1.916
132,141,CAGE,SLU-försök,Bovans,2321,2.096
133,116,CAGE,SLU-försök,Bovans,2322,1.811
136,154,CAGE,SLU-kontroll,LSL,2323,1.932
137,212,CAGE,SLU-försök,Bovans,2324,2.038
138,143,CAGE,SLU-försök,Bovans,2324,1.568
139,185,CAGE,SLU-försök,Bovans,2325,1.979
142,153,CAGE,SLU-kontroll,LSL,2326,1.825
144,140,CAGE,SLU-försök,Bovans,2327,1.942
145,127,CAGE,SLU-kontroll,LSL,2401,1.727
146,162,CAGE,SLU-kontroll,LSL,2401,1.813
147,187,CAGE,SLU-kontroll,Bovans,2402,2.153
148,126,CAGE,SLU-kontroll,Bovans,2402,1.901
149,121,CAGE,SLU-försök,LSL,2403,1.713
150,101,CAGE,SLU-försök,LSL,2403,1.734
152,180,CAGE,SLU-kontroll,LSL,2404,1.96
154,185,CAGE,SLU-kontroll,Bovans,2405,2.22
155,126,CAGE,SLU-försök,LSL,2406,1.679
156,200,CAGE,SLU-försök,LSL,2406,1.911
157,153,CAGE,SLU-kontroll,LSL,2407,1.951
158,168,CAGE,SLU-kontroll,LSL,2407,1.959
160,204,CAGE,SLU-kontroll,Bovans,2408,1.752
161,134,CAGE,SLU-försök,LSL,2409,1.77
162,177,CAGE,SLU-försök,LSL,2409,1.763
163,128,CAGE,SLU-kontroll,LSL,2410,1.813
164,150,CAGE,SLU-kontroll,LSL,2410,1.338
166,202,CAGE,SLU-kontroll,Bovans,2411,1.921
